,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
11,KR_5954331987,2022-06-05 18:47:42.994,3.5,53.398058252427184,True,2,3.125,3.5,3.5,3.5,3.5,3.5,2.0,3.5,14.0,14.5,59.53456562867515,48.937749857224446,59.26829268292683,50.22844089091947,61.111111111111114,60.0,58.490566037735846,35.294117647058826
12,KR_5954234954,2022-06-05 18:05:01.520,3.5,53.398058252427184,True,1,3.125,2.7600000000000002,3.5,2.8,3.5,3.5,2.0,2.0,14.5,13.0,49.05759988056712,51.74750076699102,48.63839285714286,51.486486486486484,53.398058252427184,57.14285714285714,45.55555555555556,48.275862068965516
13,KR_5954117532,2022-06-05 17:24:32.809,3.5,53.398058252427184,True,2,2.81,3.0,2.8,3.2,4.0,3.5,2.0,2.0,15.8,16.8,53.64008085693774,53.24846423150542,52.23880597014925,52.55474452554745,62.96296296296296,56.88073394495413,49.57983193277311,51.03448275862069
14,KR_5953966738,2022-06-05 16:31:02.850,3.5,53.398058252427184,True,2,2.4250000000000003,2.8625,2.45,2.9749999999999996,2.8000000000000003,3.5,2.0,2.0,17.5,18.0,56.01434344640867,50.935905874609176,55.53830227743272,51.69902912621359,69.23076923076923,57.6271186440678,43.75,42.71844660194174
15,KR_5953898681,2022-06-05 15:56:20.896,3.5,53.398058252427184,False,2,2.6399999999999997,2.9200000000000004,2.8,2.8,2.8,3.5,2.0,2.0,14.2,11.8,51.90468159911923,49.84542728582949,52.69461077844312,52.23880597014925,53.90625,53.68421052631579,48.54771784232365,39.285714285714285
16,KR_5953769778,2022-06-05 15:16:23.862,3.5,53.398058252427184,False,2,3.2,2.6,3.5,2.0,3.5,3.5,2.0,2.0,16.8,15.8,54.68455899067969,52.930804901678684,55.00000000000001,53.398058252427184,58.490566037735846,70.0,51.80722891566265,39.682539682539684
17,KR_5953772955,2022-06-05 14:45:44.564,3.5,53.398058252427184,True,2,2.46,3.0799999999999996,2.0,2.8,3.5,3.5,2.0,2.8,10.6,12.6,50.61590689239913,53.163393343324366,51.931330472103,53.398058252427184,52.0,56.43564356435643,46.42857142857143,50.0
18,KR_5953516068,2022-06-05 14:09:57.064,3.5,53.398058252427184,False,2,3.06,2.7600000000000002,3.5,2.8,3.5,3.5,2.0,2.0,15.2,13.8,52.90815445499978,50.87854910723676,51.19453924914675,51.080246913580254,61.53846153846154,55.42168674698795,49.56896551724138,46.666666666666664
19,KR_5953317281,2022-06-05 13:31:28.307,3.5,53.398058252427184,False,2,2.72,2.62,2.8,2.8,3.2,3.5,2.0,2.0,16.0,15.6,52.84427309923518,48.469623720051196,53.90070921985816,50.755287009063444,55.55555555555556,53.68421052631579,48.82943143812709,34.61538461538461
20,KR_5953274019,2022-06-05 13:11:15.369,3.5,53.398058252427184,True,2,2.46,2.875,2.0,3.0,3.5,3.5,2.0,2.0,8.2,9.75,47.294360233498516,57.46085704228367,50.72463768115942,53.622106049290515,53.068592057761734,74.52229299363057,34.375,48.07692307692308
